model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3217,1e-05,1e-06,0.25,0.25,0.035,0.0035393,0.01622,2SEG,1,LIDAR,0.015460699999999999,0.18378,0.8137210526315789,0.9188999999999999,0.8663105263157894
M3218,1e-05,1e-06,0.25,0.25,0.04,0.0035372,0.01757,2SEG,1,LIDAR,0.015462799999999999,0.18243,0.8138315789473684,0.91215,0.8629907894736841
M3219,1e-05,1e-06,0.25,0.25,0.05,0.0035333,0.02007,2SEG,1,LIDAR,0.0154667,0.17993,0.8140368421052632,0.89965,0.8568434210526316
M3220,1e-05,1e-06,0.25,0.25,0.08,0.0035231,0.02656,2SEG,1,LIDAR,0.0154769,0.17344,0.8145736842105263,0.8672,0.8408868421052631
M3221,1e-05,1e-06,0.25,0.5,0.03,0.003542,0.01401,2SEG,1,LIDAR,0.015458,0.18599000000000002,0.8135789473684211,0.92995,0.8717644736842105
M3222,1e-05,1e-06,0.25,0.5,0.035,0.0035398,0.01536,2SEG,1,LIDAR,0.0154602,0.18464,0.8136947368421052,0.9231999999999999,0.8684473684210525
M3223,1e-05,1e-06,0.25,0.5,0.04,0.0035378,0.01663,2SEG,1,LIDAR,0.015462199999999999,0.18337,0.8138,0.9168499999999999,0.8653249999999999
M3224,1e-05,1e-06,0.25,0.5,0.05,0.0035339,0.019,2SEG,1,LIDAR,0.0154661,0.18100000000000002,0.8140052631578948,0.905,0.8595026315789474
M3225,1e-05,1e-06,0.25,0.5,0.08,0.0035239,0.02515,2SEG,1,LIDAR,0.0154761,0.17485,0.8145315789473684,0.87425,0.8443907894736842
M3226,1e-05,1e-06,0.5,-0.5,0.03,0.0035395,0.01947,2SEG,1,LIDAR,0.015460499999999999,0.18053000000000002,0.8137105263157894,0.9026500000000001,0.8581802631578948
M3227,1e-05,1e-06,0.5,-0.5,0.035,0.0035371,0.02135,2SEG,1,LIDAR,0.0154629,0.17865,0.8138368421052632,0.89325,0.8535434210526316
M3228,1e-05,1e-06,0.5,-0.5,0.04,0.0035348,0.02312,2SEG,1,LIDAR,0.0154652,0.17688,0.8139578947368421,0.8844,0.849178947368421
M3229,1e-05,1e-06,0.5,-0.5,0.05,0.0035305,0.02641,2SEG,1,LIDAR,0.0154695,0.17359000000000002,0.8141842105263158,0.8679500000000001,0.841067105263158
M3230,1e-05,1e-06,0.5,-0.5,0.08,0.0035195,0.03495,2SEG,1,LIDAR,0.0154805,0.16505,0.8147631578947369,0.8252499999999999,0.8200065789473684
M3231,1e-05,1e-06,0.5,-0.25,0.03,0.0035409,0.01724,2SEG,1,LIDAR,0.0154591,0.18276,0.8136368421052632,0.9138,0.8637184210526316
M3232,1e-05,1e-06,0.5,-0.25,0.035,0.0035386,0.01891,2SEG,1,LIDAR,0.0154614,0.18109,0.8137578947368421,0.90545,0.859603947368421
M3233,1e-05,1e-06,0.5,-0.25,0.04,0.0035364,0.02047,2SEG,1,LIDAR,0.0154636,0.17953000000000002,0.8138736842105263,0.8976500000000001,0.8557618421052632
M3234,1e-05,1e-06,0.5,-0.25,0.05,0.0035323,0.02339,2SEG,1,LIDAR,0.0154677,0.17661000000000002,0.8140894736842105,0.88305,0.8485697368421052
M3235,1e-05,1e-06,0.5,-0.25,0.08,0.0035218,0.03096,2SEG,1,LIDAR,0.0154782,0.16904000000000002,0.8146421052631578,0.8452000000000001,0.829921052631579
M3236,1e-05,1e-06,0.5,0.0,0.03,0.0035417,0.01582,2SEG,1,LIDAR,0.0154583,0.18418,0.8135947368421053,0.9209,0.8672473684210527
M3237,1e-05,1e-06,0.5,0.0,0.035,0.0035395,0.01734,2SEG,1,LIDAR,0.015460499999999999,0.18266000000000002,0.8137105263157894,0.9133,0.8635052631578948
M3238,1e-05,1e-06,0.5,0.0,0.04,0.0035374,0.01878,2SEG,1,LIDAR,0.0154626,0.18122000000000002,0.813821052631579,0.9061,0.8599605263157895
M3239,1e-05,1e-06,0.5,0.0,0.05,0.0035335,0.02146,2SEG,1,LIDAR,0.0154665,0.17854,0.8140263157894737,0.8926999999999999,0.8533631578947368
M3240,1e-05,1e-06,0.5,0.0,0.08,0.0035234,0.0284,2SEG,1,LIDAR,0.0154766,0.1716,0.8145578947368421,0.858,0.8362789473684211
M3241,1e-05,1e-06,0.5,0.25,0.03,0.0035423,0.0148,2SEG,1,LIDAR,0.0154577,0.1852,0.8135631578947369,0.9259999999999999,0.8697815789473684
M3242,1e-05,1e-06,0.5,0.25,0.035,0.0035402,0.01622,2SEG,1,LIDAR,0.0154598,0.18378,0.8136736842105263,0.9188999999999999,0.8662868421052632
M3243,1e-05,1e-06,0.5,0.25,0.04,0.0035381,0.01757,2SEG,1,LIDAR,0.015461899999999999,0.18243,0.8137842105263158,0.91215,0.8629671052631579
M3244,1e-05,1e-06,0.5,0.25,0.05,0.0035343,0.02007,2SEG,1,LIDAR,0.015465699999999999,0.17993,0.8139842105263158,0.89965,0.8568171052631579
M3245,1e-05,1e-06,0.5,0.25,0.08,0.0035245,0.02657,2SEG,1,LIDAR,0.0154755,0.17343,0.8145,0.86715,0.8408249999999999
M3246,1e-05,1e-06,0.5,0.5,0.03,0.0035428,0.01401,2SEG,1,LIDAR,0.015457199999999999,0.18599000000000002,0.8135368421052631,0.92995,0.8717434210526316
M3247,1e-05,1e-06,0.5,0.5,0.035,0.0035407,0.01536,2SEG,1,LIDAR,0.015459299999999999,0.18464,0.8136473684210526,0.9231999999999999,0.8684236842105262
M3248,1e-05,1e-06,0.5,0.5,0.04,0.0035387,0.01664,2SEG,1,LIDAR,0.015461299999999999,0.18336000000000002,0.8137526315789473,0.9168000000000001,0.8652763157894736
M3249,1e-05,1e-06,0.5,0.5,0.05,0.003535,0.01901,2SEG,1,LIDAR,0.015465,0.18099,0.8139473684210526,0.90495,0.8594486842105263
M3250,1e-05,1e-06,0.5,0.5,0.08,0.0035253,0.02516,2SEG,1,LIDAR,0.0154747,0.17484000000000002,0.814457894736842,0.8742000000000001,0.844328947368421
M3251,1e-05,5.5e-06,-0.5,-0.5,0.03,0.0055079,0.02534,2SEG,1,LIDAR,0.0134921,0.17466,0.7101105263157895,0.8733,0.7917052631578947
M3252,1e-05,5.5e-06,-0.5,-0.5,0.035,0.0054992,0.02777,2SEG,1,LIDAR,0.0135008,0.17223000000000002,0.7105684210526316,0.8611500000000001,0.7858592105263158
M3253,1e-05,5.5e-06,-0.5,-0.5,0.04,0.0054911,0.03006,2SEG,1,LIDAR,0.0135089,0.16994,0.7109947368421053,0.8497,0.7803473684210527
M3254,1e-05,5.5e-06,-0.5,-0.5,0.05,0.0054759,0.03431,2SEG,1,LIDAR,0.0135241,0.16569,0.7117947368421054,0.82845,0.7701223684210527
M3255,1e-05,5.5e-06,-0.5,-0.5,0.08,0.0054367,0.04529,2SEG,1,LIDAR,0.0135633,0.15471000000000001,0.7138578947368421,0.7735500000000001,0.743703947368421
M3256,1e-05,5.5e-06,-0.5,-0.25,0.03,0.005516,0.02246,2SEG,1,LIDAR,0.013484,0.17754,0.7096842105263158,0.8876999999999999,0.7986921052631579
M3257,1e-05,5.5e-06,-0.5,-0.25,0.035,0.0055081,0.02461,2SEG,1,LIDAR,0.0134919,0.17539000000000002,0.7101,0.87695,0.793525
M3258,1e-05,5.5e-06,-0.5,-0.25,0.04,0.0055007,0.02664,2SEG,1,LIDAR,0.013499299999999999,0.17336000000000001,0.7104894736842104,0.8668,0.7886447368421052
M3259,1e-05,5.5e-06,-0.5,-0.25,0.05,0.0054869,0.03042,2SEG,1,LIDAR,0.0135131,0.16958,0.7112157894736842,0.8479,0.7795578947368421
M3260,1e-05,5.5e-06,-0.5,-0.25,0.08,0.0054512,0.04017,2SEG,1,LIDAR,0.0135488,0.15983000000000003,0.7130947368421052,0.7991500000000001,0.7561223684210527
M3261,1e-05,5.5e-06,-0.5,0.0,0.03,0.0055212,0.02061,2SEG,1,LIDAR,0.013478799999999999,0.17939000000000002,0.7094105263157895,0.89695,0.8031802631578948
M3262,1e-05,5.5e-06,-0.5,0.0,0.035,0.0055138,0.02259,2SEG,1,LIDAR,0.0134862,0.17741,0.7098,0.88705,0.7984249999999999
M3263,1e-05,5.5e-06,-0.5,0.0,0.04,0.0055069,0.02446,2SEG,1,LIDAR,0.0134931,0.17554,0.7101631578947368,0.8776999999999999,0.7939315789473684
M3264,1e-05,5.5e-06,-0.5,0.0,0.05,0.005494,0.02792,2SEG,1,LIDAR,0.013506,0.17208,0.7108421052631579,0.8604,0.785621052631579
M3265,1e-05,5.5e-06,-0.5,0.0,0.08,0.0054605,0.03688,2SEG,1,LIDAR,0.0135395,0.16312000000000001,0.7126052631578947,0.8156,0.7641026315789474
