model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3178,1e-05,1e-06,0.0,-0.5,0.035,0.0040624,0.03539,nSEG,1,LIDAR,0.014937599999999999,0.16461,0.7861894736842104,0.82305,0.8046197368421052
M3179,1e-05,1e-06,0.0,-0.5,0.04,0.0040593,0.03832,nSEG,1,LIDAR,0.0149407,0.16168000000000002,0.7863526315789474,0.8084,0.7973763157894738
M3180,1e-05,1e-06,0.0,-0.5,0.05,0.0040536,0.04378,nSEG,1,LIDAR,0.014946399999999999,0.15622000000000003,0.7866526315789473,0.7811000000000001,0.7838763157894737
M3181,1e-05,1e-06,0.0,-0.25,0.02,0.0040746,0.02244,nSEG,1,LIDAR,0.014925399999999998,0.17756,0.7855473684210525,0.8877999999999999,0.8366736842105262
M3182,1e-05,1e-06,0.0,-0.25,0.03,0.0040678,0.02859,nSEG,1,LIDAR,0.0149322,0.17141,0.7859052631578948,0.85705,0.8214776315789474
M3183,1e-05,1e-06,0.0,-0.25,0.035,0.0040647,0.03135,nSEG,1,LIDAR,0.014935299999999999,0.16865000000000002,0.7860684210526315,0.84325,0.8146592105263157
M3184,1e-05,1e-06,0.0,-0.25,0.04,0.0040619,0.03395,nSEG,1,LIDAR,0.0149381,0.16605,0.7862157894736842,0.8302499999999999,0.808232894736842
M3185,1e-05,1e-06,0.0,-0.25,0.05,0.0040565,0.03878,nSEG,1,LIDAR,0.014943499999999998,0.16122,0.7865,0.8060999999999999,0.7963
M3186,1e-05,1e-06,0.0,0.0,0.02,0.0040757,0.02059,nSEG,1,LIDAR,0.0149243,0.17941000000000001,0.7854894736842105,0.89705,0.8412697368421053
M3187,1e-05,1e-06,0.0,0.0,0.03,0.0040692,0.02623,nSEG,1,LIDAR,0.0149308,0.17377,0.7858315789473684,0.86885,0.8273407894736842
M3188,1e-05,1e-06,0.0,0.0,0.035,0.0040663,0.02876,nSEG,1,LIDAR,0.0149337,0.17124,0.7859842105263157,0.8562,0.8210921052631579
M3189,1e-05,1e-06,0.0,0.0,0.04,0.0040635,0.03115,nSEG,1,LIDAR,0.014936499999999998,0.16885,0.7861315789473684,0.84425,0.8151907894736842
M3190,1e-05,1e-06,0.0,0.0,0.05,0.0040584,0.03558,nSEG,1,LIDAR,0.0149416,0.16442,0.7864,0.8221,0.80425
M3191,1e-05,1e-06,0.0,0.25,0.02,0.0040764,0.01926,nSEG,1,LIDAR,0.014923599999999999,0.18074,0.7854526315789473,0.9037000000000001,0.8445763157894737
M3192,1e-05,1e-06,0.0,0.25,0.03,0.0040702,0.02454,nSEG,1,LIDAR,0.0149298,0.17546,0.785778947368421,0.8773,0.8315394736842106
M3193,1e-05,1e-06,0.0,0.25,0.035,0.0040674,0.0269,nSEG,1,LIDAR,0.0149326,0.1731,0.7859263157894737,0.8654999999999999,0.8257131578947368
M3194,1e-05,1e-06,0.0,0.25,0.04,0.0040647,0.02914,nSEG,1,LIDAR,0.014935299999999999,0.17086,0.7860684210526315,0.8543000000000001,0.8201842105263157
M3195,1e-05,1e-06,0.0,0.25,0.05,0.0040598,0.03329,nSEG,1,LIDAR,0.0149402,0.16671000000000002,0.7863263157894738,0.8335500000000001,0.8099381578947369
M3196,1e-05,1e-06,0.0,0.5,0.02,0.004077,0.01823,nSEG,1,LIDAR,0.014922999999999999,0.18177000000000001,0.7854210526315789,0.90885,0.8471355263157895
M3197,1e-05,1e-06,0.0,0.5,0.03,0.0040709,0.02323,nSEG,1,LIDAR,0.0149291,0.17677,0.7857421052631579,0.88385,0.834796052631579
M3198,1e-05,1e-06,0.0,0.5,0.035,0.0040682,0.02547,nSEG,1,LIDAR,0.014931799999999999,0.17453000000000002,0.7858842105263157,0.87265,0.8292671052631579
M3199,1e-05,1e-06,0.0,0.5,0.04,0.0040656,0.02759,nSEG,1,LIDAR,0.0149344,0.17241,0.786021052631579,0.86205,0.8240355263157895
M3200,1e-05,1e-06,0.0,0.5,0.05,0.0040608,0.03152,nSEG,1,LIDAR,0.0149392,0.16848000000000002,0.7862736842105263,0.8424,0.8143368421052632
M3201,1e-05,1e-06,0.25,-0.5,0.02,0.0040736,0.02534,nSEG,1,LIDAR,0.0149264,0.17466,0.7856,0.8733,0.82945
M3202,1e-05,1e-06,0.25,-0.5,0.03,0.0040666,0.03228,nSEG,1,LIDAR,0.0149334,0.16772,0.7859684210526315,0.8386,0.8122842105263157
M3203,1e-05,1e-06,0.25,-0.5,0.035,0.0040634,0.03539,nSEG,1,LIDAR,0.0149366,0.16461,0.7861368421052631,0.82305,0.8045934210526315
M3204,1e-05,1e-06,0.25,-0.5,0.04,0.0040604,0.03833,nSEG,1,LIDAR,0.0149396,0.16167,0.7862947368421054,0.80835,0.7973223684210526
M3205,1e-05,1e-06,0.25,-0.5,0.05,0.0040549,0.04378,nSEG,1,LIDAR,0.0149451,0.15622000000000003,0.7865842105263158,0.7811000000000001,0.7838421052631579
