model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M101,1e-05,1e-06,0.5,-0.5,0.03,0.0037239,0.02007,2SEG,1,GNSS,0.015276099999999999,0.17993,0.8040052631578947,0.89965,0.8518276315789473
M102,1e-05,1e-06,0.5,-0.5,0.035,0.0037214,0.022,2SEG,1,GNSS,0.0152786,0.17800000000000002,0.8041368421052631,0.89,0.8470684210526316
M103,1e-05,1e-06,0.5,-0.5,0.04,0.0037191,0.02383,2SEG,1,GNSS,0.0152809,0.17617000000000002,0.8042578947368422,0.88085,0.8425539473684212
M104,1e-05,1e-06,0.5,-0.5,0.05,0.0037147,0.02723,2SEG,1,GNSS,0.0152853,0.17277,0.8044894736842105,0.86385,0.8341697368421053
M105,1e-05,1e-06,0.5,-0.5,0.08,0.0037033,0.03603,2SEG,1,GNSS,0.0152967,0.16397,0.8050894736842106,0.81985,0.8124697368421052
M106,1e-05,1e-06,0.5,-0.25,0.03,0.0037253,0.01777,2SEG,1,GNSS,0.015274699999999999,0.18223,0.8039315789473683,0.91115,0.8575407894736842
M107,1e-05,1e-06,0.5,-0.25,0.035,0.0037229,0.01949,2SEG,1,GNSS,0.0152771,0.18051,0.8040578947368421,0.90255,0.853303947368421
M108,1e-05,1e-06,0.5,-0.25,0.04,0.0037207,0.02111,2SEG,1,GNSS,0.015279299999999999,0.17889000000000002,0.8041736842105263,0.8944500000000001,0.8493118421052632
M109,1e-05,1e-06,0.5,-0.25,0.05,0.0037165,0.02411,2SEG,1,GNSS,0.015283499999999998,0.17589000000000002,0.8043947368421052,0.8794500000000001,0.8419223684210526
M110,1e-05,1e-06,0.5,-0.25,0.08,0.0037057,0.03192,2SEG,1,GNSS,0.0152943,0.16808,0.8049631578947368,0.8404,0.8226815789473685
M111,1e-05,1e-06,0.5,0.0,0.03,0.0037262,0.01631,2SEG,1,GNSS,0.0152738,0.18369000000000002,0.8038842105263159,0.9184500000000001,0.861167105263158
M112,1e-05,1e-06,0.5,0.0,0.035,0.0037239,0.01788,2SEG,1,GNSS,0.015276099999999999,0.18212,0.8040052631578947,0.9106,0.8573026315789474
M113,1e-05,1e-06,0.5,0.0,0.04,0.0037217,0.01937,2SEG,1,GNSS,0.0152783,0.18063,0.804121052631579,0.90315,0.8536355263157895
M114,1e-05,1e-06,0.5,0.0,0.05,0.0037177,0.02213,2SEG,1,GNSS,0.015282299999999999,0.17787,0.8043315789473684,0.88935,0.8468407894736842
M115,1e-05,1e-06,0.5,0.0,0.08,0.0037073,0.02928,2SEG,1,GNSS,0.0152927,0.17072,0.804878947368421,0.8536,0.8292394736842106
M116,1e-05,1e-06,0.5,0.25,0.03,0.0037268,0.01525,2SEG,1,GNSS,0.015273199999999999,0.18475000000000003,0.8038526315789474,0.9237500000000001,0.8638013157894737
M117,1e-05,1e-06,0.5,0.25,0.035,0.0037246,0.01672,2SEG,1,GNSS,0.0152754,0.18328,0.8039684210526316,0.9164,0.8601842105263158
M118,1e-05,1e-06,0.5,0.25,0.04,0.0037225,0.01811,2SEG,1,GNSS,0.0152775,0.18189,0.804078947368421,0.90945,0.8567644736842105
M119,1e-05,1e-06,0.5,0.25,0.05,0.0037186,0.0207,2SEG,1,GNSS,0.0152814,0.17930000000000001,0.8042842105263158,0.8965000000000001,0.850392105263158
M120,1e-05,1e-06,0.5,0.25,0.08,0.0037084,0.02739,2SEG,1,GNSS,0.015291599999999999,0.17261,0.8048210526315789,0.86305,0.8339355263157895
M121,1e-05,1e-06,0.5,0.5,0.03,0.0037273,0.01444,2SEG,1,GNSS,0.0152727,0.18556,0.8038263157894737,0.9278,0.8658131578947368
M122,1e-05,1e-06,0.5,0.5,0.035,0.0037251,0.01584,2SEG,1,GNSS,0.0152749,0.18416000000000002,0.8039421052631579,0.9208000000000001,0.862371052631579
M123,1e-05,1e-06,0.5,0.5,0.04,0.003723,0.01715,2SEG,1,GNSS,0.015276999999999999,0.18285,0.8040526315789474,0.91425,0.8591513157894737
M124,1e-05,1e-06,0.5,0.5,0.05,0.0037192,0.0196,2SEG,1,GNSS,0.015280799999999999,0.1804,0.8042526315789473,0.902,0.8531263157894737
M125,1e-05,1e-06,0.5,0.5,0.08,0.0037093,0.02594,2SEG,1,GNSS,0.015290699999999999,0.17406000000000002,0.8047736842105263,0.8703000000000001,0.8375368421052631
M126,1e-05,5.5e-06,-0.5,-0.5,0.03,0.0058465,0.02626,2SEG,1,GNSS,0.013153499999999999,0.17374,0.6922894736842105,0.8687,0.7804947368421052
