model,package,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M141,LAK+SFR,5.50E-05,1.00E-06,,0.25,0.03,0.037589,0.09378,nSEG,1,GNSS,-0.018589,0.10622,0.978368421,0.5311,0.754734211
M142,LAK+SFR,5.50E-05,1.00E-06,,0.25,0.035,0.0375,0.1028,nSEG,1,GNSS,-0.0185,0.0972,0.973684211,0.486,0.729842105
M143,LAK+SFR,5.50E-05,1.00E-06,,0.25,0.04,0.037423,0.1114,nSEG,1,GNSS,-0.018423,0.0886,0.969631579,0.443,0.706315789
M144,LAK+SFR,5.50E-05,1.00E-06,,0.25,0.05,0.037131,0.1264,nSEG,1,GNSS,-0.018131,0.0736,0.954263158,0.368,0.661131579
M145,LAK+SFR,5.50E-05,1.00E-06,,0.25,0.08,0.036195,0.1653,nSEG,1,GNSS,-0.017195,0.0347,0.905,0.1735,0.53925
M146,LAK+SFR,5.50E-05,1.00E-06,,0.5,0.03,0.03761,0.08877,nSEG,1,GNSS,-0.01861,0.11123,0.979473684,0.55615,0.767811842
M147,LAK+SFR,5.50E-05,1.00E-06,,0.5,0.035,0.037521,0.09734,nSEG,1,GNSS,-0.018521,0.10266,0.974789474,0.5133,0.744044737
M148,LAK+SFR,5.50E-05,1.00E-06,,0.5,0.04,0.037445,0.1054,nSEG,1,GNSS,-0.018445,0.0946,0.970789474,0.473,0.721894737
M149,LAK+SFR,5.50E-05,1.00E-06,,0.5,0.05,0.037185,0.1198,nSEG,1,GNSS,-0.018185,0.0802,0.957105263,0.401,0.679052632
M150,LAK+SFR,5.50E-05,1.00E-06,,0.5,0.08,0.03625,0.1566,nSEG,1,GNSS,-0.01725,0.0434,0.907894737,0.217,0.562447368
M151,LAK+SFR,5.50E-05,5.50E-06,,-0.5,0.03,0.040758,0.1302,nSEG,1,GNSS,-0.021758,0.0698,1.145157895,0.349,0.747078947
M152,LAK+SFR,5.50E-05,5.50E-06,,-0.5,0.035,0.040501,0.1419,nSEG,1,GNSS,-0.021501,0.0581,1.131631579,0.2905,0.711065789
M153,LAK+SFR,5.50E-05,5.50E-06,,-0.5,0.04,0.040321,0.1532,nSEG,1,GNSS,-0.021321,0.0468,1.122157895,0.234,0.678078947
M154,LAK+SFR,5.50E-05,5.50E-06,,-0.5,0.05,0.039494,0.1739,nSEG,1,GNSS,-0.020494,0.0261,1.078631579,0.1305,0.604565789
M155,LAK+SFR,5.50E-05,5.50E-06,,-0.5,0.08,0.038896,0.2288,nSEG,1,GNSS,-0.019896,-0.0288,1.047157895,0.144,0.595578947
M156,LAK+SFR,5.50E-05,5.50E-06,,-0.25,0.03,0.040843,0.1153,nSEG,1,GNSS,-0.021843,0.0847,1.149631579,0.4235,0.786565789
M157,LAK+SFR,5.50E-05,5.50E-06,,-0.25,0.035,0.040756,0.1264,nSEG,1,GNSS,-0.021756,0.0736,1.145052632,0.368,0.756526316
M158,LAK+SFR,5.50E-05,5.50E-06,,-0.25,0.04,0.040535,0.1361,nSEG,1,GNSS,-0.021535,0.0639,1.133421053,0.3195,0.726460526
M159,LAK+SFR,5.50E-05,5.50E-06,,-0.25,0.05,0.040221,0.1548,nSEG,1,GNSS,-0.021221,0.0452,1.116894737,0.226,0.671447368
M160,LAK+SFR,5.50E-05,5.50E-06,,-0.25,0.08,0.03917,0.2032,nSEG,1,GNSS,-0.02017,-0.0032,1.061578947,0.016,0.538789474
M161,LAK+SFR,5.50E-05,5.50E-06,,0,0.03,0.040893,0.1057,nSEG,1,GNSS,-0.021893,0.0943,1.152263158,0.4715,0.811881579
M162,LAK+SFR,5.50E-05,5.50E-06,,0,0.035,0.040807,0.1159,nSEG,1,GNSS,-0.021807,0.0841,1.147736842,0.4205,0.784118421
M163,LAK+SFR,5.50E-05,5.50E-06,,0,0.04,0.040732,0.1256,nSEG,1,GNSS,-0.021732,0.0744,1.143789474,0.372,0.757894737
M164,LAK+SFR,5.50E-05,5.50E-06,,0,0.05,0.040431,0.1426,nSEG,1,GNSS,-0.021431,0.0574,1.127947368,0.287,0.707473684
