model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M952,0.0001,5.5e-05,-0.5,0.035,0.075643,0.2554,nSEG,2,GNSS,-0.056643,-0.055400000000000005,2.9812105263157895,0.277,1.6291052631578948
M953,0.0001,5.5e-05,-0.5,0.04,0.075237,0.2728,nSEG,2,GNSS,-0.056236999999999995,-0.07279999999999998,2.959842105263158,0.3639999999999999,1.6619210526315789
M954,0.0001,5.5e-05,-0.5,0.05,0.074976,0.3061,nSEG,2,GNSS,-0.055976,-0.10609999999999997,2.946105263157895,0.5304999999999999,1.7383026315789474
M955,0.0001,5.5e-05,-0.5,0.08,0.074102,0.3884,nSEG,2,GNSS,-0.055102,-0.1884,2.9001052631578945,0.9420000000000001,1.9210526315789473
M956,0.0001,5.5e-05,-0.25,0.03,0.076135,0.2127,nSEG,2,GNSS,-0.05713499999999999,-0.012699999999999989,3.0071052631578943,0.06349999999999995,1.535302631578947
M957,0.0001,5.5e-05,-0.25,0.035,0.075921,0.2302,nSEG,2,GNSS,-0.056921,-0.030199999999999977,2.995842105263158,0.15099999999999988,1.5734210526315788
M958,0.0001,5.5e-05,-0.25,0.04,0.075753,0.2466,nSEG,2,GNSS,-0.056753,-0.0466,2.987,0.233,1.61
M959,0.0001,5.5e-05,-0.25,0.05,0.075184,0.2756,nSEG,2,GNSS,-0.056184,-0.0756,2.9570526315789474,0.378,1.6675263157894737
M960,0.0001,5.5e-05,-0.25,0.08,0.074466,0.3504,nSEG,2,GNSS,-0.055466,-0.15039999999999998,2.919263157894737,0.7519999999999999,1.8356315789473683
M961,0.0001,5.5e-05,0.0,0.03,0.076237,0.1975,nSEG,2,GNSS,-0.057236999999999996,0.0025000000000000022,3.012473684210526,0.012500000000000011,1.512486842105263
M962,0.0001,5.5e-05,0.0,0.035,0.076095,0.2138,nSEG,2,GNSS,-0.05709499999999999,-0.013799999999999979,3.005,0.0689999999999999,1.537
M963,0.0001,5.5e-05,0.0,0.04,0.075897,0.2289,nSEG,2,GNSS,-0.056897,-0.02889999999999998,2.9945789473684212,0.1444999999999999,1.5695394736842105
M964,0.0001,5.5e-05,0.0,0.05,0.075546,0.2566,nSEG,2,GNSS,-0.056546,-0.056599999999999984,2.9761052631578946,0.2829999999999999,1.6295526315789473
M965,0.0001,5.5e-05,0.0,0.08,0.074746,0.3261,nSEG,2,GNSS,-0.055746000000000004,-0.1261,2.934,0.6305,1.7822500000000001
M966,0.0001,5.5e-05,0.25,0.03,0.076301,0.1864,nSEG,2,GNSS,-0.05730099999999999,0.013600000000000001,3.0158421052631574,0.068,1.5419210526315787
M967,0.0001,5.5e-05,0.25,0.035,0.076158,0.2018,nSEG,2,GNSS,-0.057158,-0.001799999999999996,3.0083157894736843,0.00899999999999998,1.508657894736842
M968,0.0001,5.5e-05,0.25,0.04,0.076038,0.2162,nSEG,2,GNSS,-0.05703799999999999,-0.016199999999999992,3.002,0.08099999999999996,1.5414999999999999
M969,0.0001,5.5e-05,0.25,0.05,0.075739,0.2424,nSEG,2,GNSS,-0.056739,-0.04239999999999999,2.986263157894737,0.21199999999999997,1.5991315789473686
